PARTITION|PAYROLL FACILITY CODE|ACCOUNTING DEPARTMENT|DIVISION|PAYROLL FACILITY CODE|ACCOUNTING DEPARTMENT|DIVISION
pcsv1|JM|J0980|ALL|NONE|NONE|NONE
pcsv1|08|ALL|ALL|NONE|NONE|NONE
pcsv1|ALL|ALL|ALL|13|J0805|NONE
pcsv1|40|ALL|ALL|NONE|NONE|NONE
pcsv1|41|ALL|ALL|NONE|NONE|NONE
pcsv1|13|ALL|ALL|NONE|NONE|NONE
pcsv1|JA|ALL|ALL|NONE|NONE|NONE
pcsv1|DQ|ALL|ALL|NONE|NONE|NONE
pcsv1|M5|ALL|ALL|NONE|NONE|NONE
pcsv1|DV|J0967|ALL|NONE|NONE|NONE
pcsv1|16|ALL|ALL|NONE|NONE|NONE
pcsv1|PR|ALL|ALL|NONE|NONE|NONE
pcsv1|N1|ALL|ALL|NONE|NONE|NONE
pcsv1|ALL|ALL|ALL|NONE|J99XX|NONE
pcsv1|CZ|ALL|ALL|NONE|NONE|NONE
pcsv1|N4|ALL|ALL|NONE|NONE|NONE
pcsv1|ZA|J2000|026|NONE|NONE|NONE
pcsv1|U6|J8000|006|NONE|NONE|NONE
pcsv1|DX|E855|000|NONE|NONE|NONE
pcsv1|XU|J0951|ALL|NONE|NONE|NONE
pcsv1|IK|J0930|ALL|NONE|NONE|NONE
pcsv1|88|ALL|ALL|NONE|NONE|NONE
pcsv1|LE|ALL|ALL|NONE|NONE|NONE
pcsv1|GN|J0938|ALL|NONE|NONE|NONE
pcsv1|GN|J0972|ALL|NONE|NONE|NONE
pcsv1|GN|J0983|ALL|NONE|NONE|NONE
pcsv1|GN|J0985|ALL|NONE|NONE|NONE
pcsv1|GN|J0979|ALL|NONE|NONE|NONE
pcsv1|14|ALL|ALL|NONE|NONE|NONE
pcsv1|JL|J0933|ALL|NONE|NONE|NONE
pcsv1|ZZ|J0923|ALL|NONE|NONE|NONE
pcsv1|03|ALL|ALL|NONE|NONE|NONE
pcsv1|JM|J0960|ALL|NONE|NONE|NONE
pcsv1|JI|J0944|ALL|NONE|NONE|NONE
pcsv1|18|J0933|ALL|NONE|NONE|NONE
pcsv1|18|J0944|ALL|NONE|NONE|NONE
pcsv1|KO|J0961|ALL|NONE|NONE|NONE
pcsv1|KO|J0980|ALL|NONE|NONE|NONE
pcsv1|KO|J0990|ALL|NONE|NONE|NONE
pcsv1|01|ALL|ALL|NONE|NONE|NONE
pcsv1|61|J9923|ALL|NONE|NONE|NONE
pcsv1|HO|J0954|ALL|NONE|NONE|NONE
pcsv1|LU|J0941|ALL|NONE|NONE|NONE
pcsv1|LU|J0915|ALL|NONE|NONE|NONE
pcsv1|LU|J0976|ALL|NONE|NONE|NONE
pcsv1|MV|J0900|ALL|NONE|NONE|NONE
pcsv1|12|J0930|ALL|NONE|NONE|NONE
pcsv1|12|J0932|ALL|NONE|NONE|NONE
pcsv1|12|J0933|ALL|NONE|NONE|NONE
pcsv1|12|J0934|ALL|NONE|NONE|NONE
pcsv1|12|J0938|ALL|NONE|NONE|NONE
pcsv1|12|J0942|ALL|NONE|NONE|NONE
pcsv1|12|J0950|ALL|NONE|NONE|NONE
pcsv1|12|J0952|ALL|NONE|NONE|NONE
pcsv1|12|J0953|ALL|NONE|NONE|NONE
pcsv1|12|J0960|ALL|NONE|NONE|NONE
pcsv1|12|J0970|ALL|NONE|NONE|NONE
pcsv1|12|J0975|ALL|NONE|NONE|NONE
pcsv1|12|J0980|ALL|NONE|NONE|NONE
pcsv1|12|J0990|ALL|NONE|NONE|NONE
pcsv1|12|J0866|ALL|NONE|NONE|NONE
pcsv1|LG|J0975|ALL|NONE|NONE|NONE
pcsv1|JS|J0930|ALL|NONE|NONE|NONE
pcsv1|06|ALL|ALL|NONE|NONE|NONE
pcsv1|PR|J0906|ALL|NONE|NONE|NONE
pcsv1|68|J0906|ALL|NONE|NONE|NONE
pcsv1|68|J0986|ALL|NONE|NONE|NONE
pcsv1|68|J0993|ALL|NONE|NONE|NONE
pcsv1|HL|J0906|ALL|NONE|NONE|NONE
pcsv1|HL|J0993|ALL|NONE|NONE|NONE
pcsv1|HP|J0925|ALL|NONE|NONE|NONE
pcsv1|GZ|ALL|ALL|NONE|NONE|NONE
pcsv1|38|ALL|ALL|NONE|NONE|NONE
pcsv1|JI|J0968|ALL|NONE|NONE|NONE
pcsv1|LU|J0977|ALL|NONE|NONE|NONE
pcsv1|68|J0745|ALL|NONE|NONE|NONE
pcsv1|68|J0976|ALL|NONE|NONE|NONE
pcsv1|JI|J0990|ALL|NONE|NONE|NONE
pcsv1|68|J0944|ALL|NONE|NONE|NONE
pcsv1|HL|J0745|ALL|NONE|NONE|NONE
pcsv1|JM|J0990|ALL|NONE|NONE|NONE
pcsv1|DV|J0980|ALL|NONE|NONE|NONE
pcsv1|JI|J0980|ALL|NONE|NONE|NONE
pcsv1|HP|J0926|ALL|NONE|NONE|NONE
pcsv1|12|J0810|ALL|NONE|NONE|NONE
pcsv1|DV|J0990|ALL|NONE|NONE|NONE
pcsv1|GN|J0957|ALL|NONE|NONE|NONE
pcsv1|CP|ALL|ALL|NONE|NONE|NONE
pcsv1|12|J0936|ALL|NONE|NONE|NONE
pcsv1|ZZ|J0990|ALL|NONE|NONE|NONE
pcsv1|12|J0940|ALL|NONE|NONE|NONE
pcsv1|12|J0900|ALL|NONE|NONE|NONE
pcsv1|JI|J0484|ALL|NONE|NONE|NONE
pcsv1|AE|ALL|ALL|NONE|NONE|NONE
pcsv1|ALL|ALL|ALL|R8|NONE|NONE
pcsv1|ALL|ALL|ALL|UJ|NONE|NONE
pcsv1|AZ|ALL|ALL|NONE|NONE|NONE
pcsv1|CC|ALL|ALL|NONE|NONE|NONE
pcsv1|49|ALL|ALL|NONE|NONE|NONE
pcsv1|50|ALL|ALL|NONE|NONE|NONE
pcsv1|53|ALL|ALL|NONE|NONE|NONE
pcsv1|55|ALL|ALL|NONE|NONE|NONE
pcsv1|56|ALL|ALL|NONE|NONE|NONE
pcsv1|59|ALL|ALL|NONE|NONE|NONE
pcsv1|60|ALL|ALL|NONE|NONE|NONE
pcsv1|AL|ALL|ALL|NONE|NONE|NONE
pcsv1|FA|ALL|ALL|NONE|NONE|NONE
pcsv1|R2|ALL|ALL|NONE|NONE|NONE
pcsv1|S3|ALL|ALL|NONE|NONE|NONE
pcsv1|WN|ALL|ALL|NONE|NONE|NONE
pcsv1|XA|ALL|ALL|NONE|NONE|NONE
pcsv1|YF|ALL|ALL|NONE|NONE|NONE
pcsv1|94|ALL|ALL|NONE|NONE|NONE
pcsv1|92|ALL|ALL|NONE|NONE|NONE
pcsv1|AS|ALL|ALL|NONE|NONE|NONE
pcsv1|CA|ALL|ALL|NONE|NONE|NONE
